"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1A_006564",1123.91327717439,-2.27047742020696,0.203395232590277,-11.1628841605184,6.19486376402396e-29,2.62166634493494e-24
"Et_2B_022367",325.087449357406,-2.02983650078214,0.222677958187538,-9.11556993473341,7.82580486965404e-20,1.6559403104188e-15
"Et_10B_004390",130.788614937965,-2.50214361368947,0.279104701001034,-8.96489240315664,3.10583944956338e-19,4.38130418351741e-15
"Et_1B_014149",99.5494329278898,-3.91765188428151,0.452036180886633,-8.66667769070464,4.44912134170459e-18,3.76573630361877e-14
"Et_6B_049569",1084.82145165278,2.51441707975447,0.289346436022049,8.68998807907511,3.62477521880687e-18,3.76573630361877e-14
"Et_3A_025470",21.8957434782649,-2.74485757817677,0.327596384762133,-8.37877860028829,5.3479764832258e-17,3.77210607950193e-13
"Et_3B_031444",1302.92937808537,-1.26069694432449,0.152574474481066,-8.26282999572739,1.42258777685062e-16,8.60055924518832e-13
"Et_6B_049371",299.326370121398,1.08370203127605,0.132245204087661,8.19464145223522,2.51341239073109e-16,1.32959515469675e-12
"Et_1A_007530",159.786945933228,1.06275132891423,0.130024936688318,8.17344238714565,2.99712515142875e-16,1.40931484898294e-12
"Et_10A_001167",1183.7437815835,2.38810241866107,0.294935709337436,8.09702705727246,5.63185496505958e-16,2.38340102121321e-12
"Et_6A_046738",143.892435644055,1.58870314899575,0.198628632680341,7.9983591869783,1.26088106591745e-15,4.66895287250598e-12
"Et_7A_050770",141.743232951665,-1.29916438074662,0.162550976057518,-7.99235053677506,1.3238996802947e-15,4.66895287250598e-12
"Et_3B_030225",638.518329543196,-3.29048042506434,0.41519421924357,-7.92515953391444,2.27853613703256e-15,7.4175114860937e-12
"Et_6A_046063",187.980824474819,-1.5340317266487,0.194043886731825,-7.90559162922139,2.66664034158241e-15,8.06087280398339e-12
"Et_1A_007730",484.328088035584,-2.10232581397966,0.27016495646864,-7.78163771297146,7.15916407999757e-15,2.01983882576998e-11
"Et_9A_062429",522.317376176407,1.47487596394843,0.190205841076799,7.75410447754295,8.8969059493016e-15,2.35323162359027e-11
"Et_10A_000842",181.342483046075,-2.96737847920941,0.383809535643967,-7.7313828960259,1.06384512104505e-14,2.64834856015451e-11
"Et_3B_028239",419.771645130837,1.11267218200013,0.144236411123044,7.71422537025644,1.21719225249843e-14,2.86175422920742e-11
"Et_1A_007725",679.742652724194,-2.09536397245307,0.274955559559202,-7.62073687766951,2.52231632953454e-14,5.33722135329508e-11
"Et_4A_032792",345.032872577261,1.07524055689731,0.141017591743762,7.62486824233314,2.44283764178955e-14,5.33722135329508e-11
"Et_1A_006508",98.3020070760381,-1.88569634608675,0.248260992889397,-7.59562073823998,3.06320467516374e-14,6.1730867549014e-11
"Et_6A_046353",101.983674965002,3.1166834725274,0.41196583873397,7.56539299983079,3.86693709054488e-14,7.43858080326633e-11
"Et_2B_018909",15.5298977012767,-3.10954514341647,0.414055686256111,-7.50996845746271,5.91416113737687e-14,1.08820564927734e-10
"Et_3A_023023",87.4452480743342,-3.06101158079775,0.411362778609834,-7.44114864048269,9.98135578116283e-14,1.68964390663524e-10
"Et_6A_046739",1844.83966646272,2.16781807515354,0.29127496871021,7.44251414652216,9.87868762375711e-14,1.68964390663524e-10
"Et_3B_030343",162.546655647349,1.37478671419306,0.185409169498659,7.41487984607475,1.21735121369642e-13,1.98147320629355e-10
"Et_4A_034586",312.537148798997,-2.71063402150334,0.366138527649311,-7.40330180193327,1.32839371265784e-13,2.08213414517332e-10
"Et_6A_047661",1959.16096661846,1.95698722647216,0.265106743208835,7.38188400183606,1.56065140909749e-13,2.35881312975021e-10
"Et_4B_039707",605.593033585076,-1.52400517455732,0.207079173925783,-7.3595289456946,1.84560335881808e-13,2.69330807397177e-10
"Et_2B_020961",300.789031328426,-2.36630788715232,0.321964450721493,-7.3495936642994,1.98810298878482e-13,2.71408124146366e-10
"Et_3A_025673",975.623123091646,-1.61630471258741,0.219889600007338,-7.35052823113724,1.97425075247161e-13,2.71408124146366e-10
"Et_10B_002485",52.1027716745296,1.37343906009629,0.189600725401385,7.24384918458892,4.3612637674021e-13,5.76777133238928e-10
"Et_1B_014150",109.05385040031,-2.20404699050667,0.304847820327135,-7.22999097760149,4.83026124901629e-13,6.19444412298089e-10
"Et_10B_004425",44.5320519511491,1.50253675682362,0.207983101053634,7.22432134732019,5.03610436059894e-13,6.26846872178079e-10
"Et_1B_014201",13.0219188403936,-2.63493104976071,0.365293014023425,-7.21319857924176,5.46526220580515e-13,6.60828275856212e-10
"Et_3A_024147",41.0287266546901,4.09604871479191,0.579597955343168,7.06705169856357,1.58260004658844e-12,1.86043427698952e-09
"Et_3B_031477",177.82934247015,3.37749233291125,0.482014844016695,7.00702971046731,2.4343058915803e-12,2.78431960355888e-09
"Et_3B_028240",93.486691694435,1.69445057924077,0.242056502238153,7.00022748231585,2.55547242028313e-12,2.84598928490479e-09
"Et_1A_006266",721.201842191237,-1.30617520007586,0.186968165868855,-6.98608340091465,2.82666082097405e-12,3.02433220223844e-09
"Et_1B_012252",513.777366526767,1.4407238804322,0.206274178854328,6.98450910547389,2.85853705315543e-12,3.02433220223844e-09
"Et_3A_023541",2014.6170246977,-2.56359042379814,0.369603304656226,-6.936059260029,4.03188526118813e-12,4.1616922988654e-09
"Et_1B_010594",113.842621741667,4.48484423226246,0.648244993062328,6.91844021976309,4.56643410401694e-12,4.60122598290469e-09
"Et_1A_007426",1088.76024827858,1.74537549809239,0.252839879668232,6.90308625515331,5.08847110581727e-12,5.00800226042295e-09
"Et_1B_014151",72.3394437513785,-2.15117042461767,0.312008854482267,-6.89458133547916,5.40236691152329e-12,5.08062594879257e-09
"Et_9A_060902",33.5208322865836,-2.31378978863731,0.335563278176087,-6.89524134229954,5.37734318808823e-12,5.08062594879257e-09
"Et_1A_005489",59.6128702495794,-1.36903899317827,0.199303416893642,-6.86911952898855,6.45993634874522e-12,5.9431414408456e-09
"Et_3A_025212",505.898387404006,-1.89971557741366,0.276694598483674,-6.86574869124434,6.6143426258803e-12,5.95572297717562e-09
"Et_3B_030349",145.037166893687,1.07884468564174,0.158046445924401,6.82612430372394,8.72393468412975e-12,7.53463093535451e-09
"Et_5A_041227",18.168522539787,-2.02074836866106,0.295915743185721,-6.82879642328733,8.56299851397226e-12,7.53463093535451e-09
"Et_10B_003976",1317.57202678518,-1.87090365149628,0.274370038690593,-6.81890654105311,9.17360528161378e-12,7.72696756088063e-09
"Et_1B_011174",669.672553480336,-1.68995034455173,0.247911158158567,-6.81675789466004,9.31179928177959e-12,7.72696756088063e-09
"Et_4B_036282",19.6589317265856,-3.02670801023753,0.444251951113684,-6.81304382040406,9.55550184764092e-12,7.77670842677238e-09
"Et_3A_024144",33.8130471039366,3.89734252819232,0.572683382365277,6.80540530457799,1.00765142254004e-11,7.90699263450343e-09
"Et_5A_042797",617.859709647714,-3.43096351224855,0.504166192203601,-6.80522328808394,1.00892628134023e-11,7.90699263450343e-09
"Et_3B_028238",208.401669760778,1.55254794578496,0.228733671108675,6.78757936363167,1.14030534793266e-11,8.77413133172909e-09
"Et_1A_005785",131.171187833871,4.30466463108825,0.637691298852856,6.750389473452,1.47448808171643e-11,1.11429170746856e-08
"Et_10B_003045",24.667865081643,3.58868453258694,0.53399408086077,6.72045751294129,1.81154851380766e-11,1.34499531762e-08
"Et_3A_025064",186.516957753046,0.914811969855071,0.136355748630046,6.70900918403594,1.95950337299097e-11,1.42976177146514e-08
"Et_9A_061465",42.8320493216541,-1.45340125550313,0.2168574208062,-6.70210523624184,2.05437992801239e-11,1.47358234836414e-08
"Et_2A_018168",644.329035488891,-1.21224744205515,0.181730820332274,-6.6705660593987,2.54818641834926e-11,1.79732082040901e-08
"Et_7A_052552",14.5803256012474,-3.19138768790742,0.479180885139388,-6.66008972160708,2.73660471635802e-11,1.89857559993887e-08
"Et_1A_008300",234.334872655225,-1.36165902686338,0.204696849997735,-6.65207611586817,2.88987170740337e-11,1.97257049447275e-08
"Et_4B_037910",408.089197664503,0.848789486347711,0.12785657964249,6.63860623145932,3.16663087242931e-11,2.12717172255887e-08
"Et_10A_001598",100.484331394108,-1.87455189619272,0.282740227258263,-6.62994408107499,3.35814062260013e-11,2.22057048669434e-08
"Et_2B_021399",176.869422316903,0.88314294795052,0.133554395673803,6.6126086190943,3.77605853139666e-11,2.4585045699801e-08
